1,,,,,
82,,n,point|s,,(c=point|s) & ((bIc) x^ (dOb)) & ((bIc) t^ (bIe)) & (e=non_whole)
83,,,point|s,,"e.g. points|s are located in a mental space, for instance, if I say that I see the Eiffel Tower in my mind and I'm not in Paris, then that Eiffel Tower is located in a region in my mental space."
84,,n,possible relationship,,(c=possible relationship) & ((pIc) x^ (pPb))
85,,n,possible world,,(c=possible world) & ((bIc) x^ (pPb))
86,1,n,property,,(c=property) & ((bIc) x^ (dJb)) & ((bIc) t^ (bIe)) & (e=non_whole)
87,,n,property|d,,(c=property|d) & ((bIc) x^ (dIYb)) & ((bIc) t^ (bIe)) & (e=non_whole)
88,,,property|d,,"EXP: In 'the man walked', 'the' is a property|d of man in that it means he is an individual"
89,1,n,property|n,,(c=property|n) & ((bIc) x^ (dHb)) & ((bIc) t^ (bIe)) & (e=non_whole)
90,,n,property|v,,(c=property|v) & ((bIc) x^ (dIVb)) & ((bIc) t^ (bIe)) & (e=non_whole)
91,,,property|v,,"EXP: In 'p is|v always true, 'always' is a property|v of p."
92,,n,reality|t,,((c=reality|t) x^ (pIRc)) & ((dIe) t^ (d~Ic)) & ((c=reality|t) t^ ((cIf) & (cIg))) & ((qIRc) t^ (cWq)) &  (e=thing) & (f=non_relationship) & (g=relationship)
93,,n,sensation,,(c=sensation) & ((bIc) x^ (bOd)) & ((bIc) t^ (bIe)) & (e=non_whole)
94,1,na,thing,,See atomic categories
95,1,n,thought,,(c=thought) & ((bIc) x^ (dTKb)) & ((bIc) t^ (bIe)) & ((bIc) x^ (bMf)) & (e=relationship)
96,1,n,whole,,(c=whole) & ((bIc) x^ (bWd))
97,,,.,,
98,,,.,,Metalinguistic Atoms
99,,,.,,
100,,na,abbreviation,,(c=abbreviation) & ((bIc) x^ ((bId) ed^ (bIe))) & (d=constant) & (e=variable)
101,,,active,,(wildly disjunctive)
102,,na,adjective,,(wildly disjunctive)
103,,na,constant,,indefinable
104,,na,intransitive verb,,(wildly disjunctive)
105,,,intransitive verb,,"e.g. In the sentence 'something happened', 'happened' is an intransitive verb, that is to say, a noun does not follow it."
106,,,non_spatio_temporal,,(wildly disjunctive)
107,,na,noun,,indefinable
108,,na,noun form,,indefinable
109,,,passive,,(wildly disjunctive)
110,,na,plural form,,indefinable
111,1,na,relation,,(c=relation) & ((bIc) t^ (bId)) & (d=non_whole)
112,,rai,relational variable,R,indefinable
113,1,na,relatum,,(c=relatum) & ((bIc) x^ (bRd)) & ((eIc) x^ (fRe))
114,,a,root (word),,"(wildly disjunctive), (c=root) & ((bJc) t^ (bId)) & (d=word)"
115,,na,singular form,,(wildly disjunctive)
116,,,spatio_temporal,,(wildly disjunctive)
117,,na,subject,,hard coded - the first relatum is the subject
118,,na,subject|i,,indefinable (must occur in if the relation is an intransitive verb)
119,,,subject|i,,"e.g. In the sentence 'something happened', 'something' is a subject|i"
120,,na,variable,,indefinable
121,,na,verb form,,(wildly disjunctive)
122,,,.,,
123,,,.,,Atomic Synonyms
124,,,.,,
125,,a,actual|p,,(c=actual|p) & (d=reality) & ((pJc) x^ (pIRd))
126,,a,actual|w,,(c=actual|w) & ((bJc) x^ (b=reality))
127,,,actual|w,,e.g. we are living in the actual|w world.
128,,ns,agglomeration,,(agglomeration = whole)
129,,ns,attribute,,(attribute = property)
130,,rs,aware of,,(aware of=TK)
131,,r,belong to,BLN,(bBLNc) x^ (cWb)
132,,rs,belong|g ,,(belong|g=I)
133,,ns,body ,,(body=particle)
134,,ns,category|c ,,(category|c=concept|n)
135,,ns,character trait,,(character trait = property)
136,,ns,characteristic ,,(characteristic=property)
137,,,class,,"EXP: classes are usually more ephemeral than concepts, so in the future we will try to draw that distinction.  For example, in elementary school most classes only last for a year or so whereas the concept 'number' will always be extant.  It is also true though concept can probably always be replaced with class but not vice versa."
138,1,ns,class,,(class = concept|n)
139,,,class,,e.g. Mammals form a class.
140,,ns,class concept,,(class concept=concept|n)
141,,,class|w,,e.g. There is a class|w of people over there.
